색상명,RGB
Buttergelb,"(246, 202, 0)"
Primelgelb,"(255, 190, 0)"
Hellgelb,"(250, 198, 0)"
Hellorange,"(249, 151, 0)"
Orange,"(248, 100, 0)"
Klatschmohn,"(206, 50, 9)"
Mittelrot,"(196, 41, 24)"
Kirschrot,"(189, 39, 19)"
Geranienrot,"(175, 14, 30)"
Rot,"(168, 19, 29)"
Dunkelrot,"(142, 32, 29)"
Burgunder,"(110, 14, 37)"
Magenta,"(202, 64, 133)"
Pink,"(238, 141, 191)"
Lavendel,"(121, 105, 169)"
Violet,"(108, 59, 133)"
Kobaltblau,"(17, 28, 58)"
Dunkelblau,"(37, 55, 104)"
Tiefblau,"(19, 52, 130)"
Ultramarinblau,"(16, 65, 129)"
Strahlendblau,"(9, 73, 165)"
Blau,"(0, 85, 133)"
Intensivblau,"(0, 109, 167)"
Hellblau,"(0, 121, 186)"
Enzianblau,"(0, 148, 185)"
Capriblau,"(78, 175, 214)"
Tuerkis,"(0, 142, 142)"
Teal,"(0, 159, 148)"
Mint,"(114, 209, 183)"
Waldgruen,"(0, 78, 48)"
Irischgruen,"(0, 122, 60)"
Kaktusgruen,"(0, 125, 78)"
Grasgruen,"(18, 133, 46)"
Hellgruen,"(101, 163, 33)"
Limone,"(121, 197, 41)"
Weiss,"(235, 236, 237)"
Lichtgrau,"(193, 193, 193)"
Hellgrau,"(159, 165, 175)"
Grau,"(129, 138, 145)"
Taubengrau,"(147, 149, 144)"
Dunkelgrau,"(86, 92, 97)"
Schwarz,"(16, 17, 21)"
Silber,"(133, 136, 138)"
Gold,"(150, 132, 83)"
Elfenbein,"(226, 205, 177)"
Beige,"(217, 191, 144)"
Lichtbraun,"(170, 134, 91)"
Braun,"(61, 36, 28)"
Nussbraun,"(175, 90, 35)"
Saharagelb,"(245, 219, 12)"
Buttergelb,"(241, 201, 5)"
Primelgelb,"(252, 190, 0)"
Hellgelb,"(247, 198, 0)"
Hellorange,"(250, 155, 0)"
Orange,"(231, 91, 39)"
Klatschmohn,"(211, 68, 45)"
Mittelrot,"(195, 62, 54)"
Kirschrot,"(191, 58, 46)"
Geranienrot,"(173, 39, 46)"
Rot,"(169, 47, 51)"
Dunkelrot,"(140, 52, 51)"
Burgunder,"(114, 42, 53)"
Magenta,"(195, 74, 132)"
Pink,"(235, 146, 193)"
Lavendel,"(125, 113, 171)"
Violet,"(117, 74, 140)"
Kobaltblau,"(43, 48, 70)"
Dunkelblau,"(53, 67, 108)"
Tiefblau,"(60, 73, 129)"
Ultramarinblau,"(53, 85, 141)"
Strahlendblau,"(39, 86, 170)"
Blau,"(39, 96, 141)"
Intensivblau,"(0, 114, 171)"
Hellblau,"(1, 126, 188)"
Enzianblau,"(0, 154, 191)"
Capriblau,"(90, 177, 217)"
Tuerkis,"(0, 146, 149)"
Teal,"(0, 160, 152)"
Mint,"(118, 213, 189)"
Waldgruen,"(0, 89, 61)"
Irischgruen,"(0, 126, 75)"
Kaktusgruen,"(0, 135, 89)"
Grasgruen,"(50, 142, 64)"
Hellgruen,"(112, 173, 58)"
Limone,"(131, 204, 63)"
Weiss,"(240, 242, 240)"
Lichtgrau,"(200, 200, 199)"
Hellgrau,"(164, 170, 179)"
Grau,"(135, 142, 150)"
Taubengrau,"(150, 153, 148)"
Dunkelgrau,"(99, 104, 109)"
Schwarz,"(46, 47, 49)"
Silber,"(155, 157, 158)"
Gold,"(149, 132, 87)"
Elfenbein,"(231, 210, 184)"
Beige,"(223, 198, 151)"
Lichtbraun,"(174, 140, 99)"
Braun,"(76, 58, 53)"
Nussbraun,"(176, 95, 54)"
Primrose Yellow,"(242, 221, 0)"
Bright Yellow,"(246, 196, 0)"
Sunflower Yellow,"(254, 183, 0)"
Sun Yellow,"(255, 182, 0)"
Signal Yellow,"(242, 169, 0)"
Gold Yellow,"(253, 166, 0)"
Saffron,"(250, 157, 0)"
Orange Yellow,"(252, 171, 0)"
Light Orange,"(234, 96, 0)"
Orange,"(231, 95, 0)"
Bright Orange,"(230, 83, 1)"
Deep Red,"(220, 60, 6)"
Tomato Red,"(215, 49, 22)"
Bright Red,"(207, 37, 2)"
Orange Red,"(212, 47, 4)"
Medium Red,"(194, 31, 18)"
Blood Red,"(198, 17, 18)"
Cardinal Red,"(195, 38, 21)"
Regal Red,"(194, 34, 46)"
Crimson Red,"(184, 8, 26)"
Cherry Red,"(171, 21, 29)"
Lipstick Red,"(176, 9, 25)"
Apple Red,"(162, 0, 17)"
Red,"(162, 27, 22)"
Dark Red,"(134, 21, 34)"
Wine Red,"(127, 32, 38)"
Purple Red,"(97, 17, 28)"
Burgundy Red,"(103, 24, 42)"
Bordeaux,"(97, 15, 51)"
Pink,"(238, 145, 188)"
Old Pink,"(236, 130, 141)"
Magenta,"(216, 98, 137)"
Fuchsia,"(199, 77, 137)"
Telemagenta,"(186, 55, 114)"
Cyclamen,"(185, 38, 98)"
Dark Pink,"(180, 46, 107)"
Lilac,"(191, 156, 196)"
Lavender,"(126, 106, 171)"
Violet,"(91, 63, 139)"
Purple,"(94, 56, 106)"
Light Blue,"(83, 175, 215)"
Sky Blue,"(0, 152, 210)"
Pastel Blue,"(11, 135, 186)"
Euro Blue,"(0, 139, 188)"
Ocean Blue,"(0, 138, 193)"
Azure Blue,"(0, 118, 183)"
Dodger Blue,"(0, 116, 181)"
Scuba Blue,"(0, 102, 173)"
Cosmos Blue,"(0, 85, 148)"
Ultramarine Blue,"(5, 67, 141)"
Blue,"(0, 85, 122)"
Delft Blue,"(0, 73, 126)"
Brillant Blue,"(40, 76, 191)"
Classic Blue,"(29, 47, 131)"
Middle Blue,"(19, 59, 130)"
King Blue,"(31, 53, 126)"
Royal Blue,"(35, 58, 130)"
Midnight Blue,"(25, 45, 113)"
Denim Blue,"(4, 54, 114)"
Marine Blue,"(10, 53, 111)"
Ink Blue,"(34, 54, 100)"
Deep Blue,"(29, 40, 92)"
Dark Blue,"(34, 44, 100)"
Scandinavia Blue,"(15, 45, 88)"
Cobalt Blue,"(20, 31, 64)"
Steel Blue,"(21, 33, 70)"
Alfa Blue,"(22, 37, 59)"
Black Blue,"(21, 30, 41)"
Blue Green,"(142, 219, 218)"
Mint,"(116, 214, 188)"
Teal,"(0, 165, 154)"
