색상명,RGB
Aqua Blue,"(5, 195, 221)"
Azure,"(0, 138, 216)"
Baby Blue,"(155, 211, 221)"
Blue Screen of Death,"(8, 39, 245)"
Bright Blue,"(85, 118, 209)"
Bright Navy,"(75, 104, 184)"
Carolina Blue,"(153, 186, 221)"
Cetacean Blue,"(0, 20, 64)"
Chambray Blue,"(60, 82, 145)"
Cloud Burst Blue,"(33, 46, 82)"
Cobalt Blue,"(0, 80, 181)"
Comic Book Blue,"(0, 174, 239)"
Cortana Blue,"(0, 163, 225)"
Cyan,"(0, 188, 227)"
Cornflower Blue,"(130, 163, 255)"
Dark Blue,"(6, 3, 141)"
Dazzling Blue,"(46, 77, 167)"
Electric Blue,"(89, 203, 232)"
French Blue,"(0, 110, 179)"
Lightsaber Blue,"(46, 103, 248)"
Malibu Blue,"(88, 126, 222)"
Marines Blue,"(0, 68, 129)"
Mint Blue,"(66, 158, 157)"
King Blue,"(65, 105, 225)"
Pale Blue,"(175, 238, 238)"
Periwinkle,"(124, 131, 188)"
Peacock Blue,"(0, 164, 180)"
Powder Blue,"(176, 224, 230)"
Police Blue,"(19, 93, 216)"
Primary Blue,"(0, 0, 255)"
Light blue,"(164, 219, 232)"
Navy Blue,"(32, 42, 68)"
Denim Blue,"(21, 96, 189)"
Fluorescent Blue,"(17, 255, 238)"
Honolulu Blue,"(0, 118, 182)"
Ice Blue,"(200, 233, 233)"
Pacific Blue,"(5, 169, 199)"
Pastel Blue,"(139, 211, 230)"
Ocean Blue,"(0, 94, 184)"
Neon Blue,"(77, 77, 255)"
Midnight Blue,"(19, 41, 75)"
Tennis Court Blue,"(30, 143, 213)"
Sapphire Blue,"(15, 82, 186)"
Rotary Blue,"(0, 51, 153)"
Robin Egg Blue,"(31, 206, 203)"
Rich Blue,"(8, 146, 208)"
Reflex Blue,"(51, 51, 153)"
Royal Blue,"(85, 118, 209)"
Road Sign Blue,"(15, 57, 139)"
Serenity,"(177, 201, 235)"
Sky Blue,"(0, 181, 226)"
Sea Blue,"(0, 105, 148)"
Teal Blue,"(0, 124, 128)"
Umpire Blue,"(123, 178, 221)"
US Navy Blue,"(0, 47, 108)"
Alice Blue,"(233, 244, 254)"
