색상명,RGB
Agreeable Gray,"(209, 203, 193)"
Aluminum,"(136, 139, 141)"
Anthracite,"(57, 61, 71)"
Antique Gray,"(165, 169, 160)"
Bone,"(215, 210, 203)"
Charcoal Gray,"(54, 69, 79)"
Chrome,"(219, 226, 233)"
Cool Gray,"(140, 146, 172)"
Dark Gray,"(99, 102, 106)"
Dark Steel Gray,"(67, 70, 75)"
Dorian Gray,"(172, 167, 158)"
French Gray,"(180, 177, 154)"
Gainsboro Gray,"(218, 218, 218)"
Graphite Gray,"(83, 86, 91)"
Gun Smoke Gray,"(138, 134, 142)"
Heather Gray,"(154, 162, 151)"
Ice Gray,"(190, 195, 198)"
Legendary Gray,"(120, 121, 118)"
Light Gray,"(217, 217, 214)"
Matte Gray,"(152, 152, 156)"
Metallic Gray,"(168, 169, 173)"
Neutral Gray,"(137, 142, 140)"
Oxford Gray,"(131, 145, 161)"
Pastel Gray,"(207, 207, 196)"
Pewter,"(96, 98, 99)"
Platinum,"(229, 225, 230)"
Sheffield Gray,"(106, 118, 128)"
Slate Gray,"(118, 134, 146)"
Steel Gray,"(136, 139, 141)"
Templeton Gray,"(120, 135, 135)"
True Silver,"(138, 141, 143)"
Very Gray,"(151, 153, 155)"
