색상명,RGB
Amber,"(255, 198, 0)"
Apricot,"(255, 182, 115)"
Bright Orange,"(255, 164, 0)"
Burnt Orange,"(203, 96, 21)"
Construction Orange,"(254, 80, 0)"
Dark orange,"(220, 88, 42)"
Goldfish Orange,"(255, 153, 19)"
Halloween Orange,"(252, 76, 2)"
Hunter Blaze Orange,"(255, 130, 0)"
Light Orange,"(252, 210, 153)"
Monarch Orange,"(226, 82, 47)"
Neon Orange,"(255, 173, 0)"
Pastel Orange,"(239, 190, 125)"
Peach,"(255, 203, 164)"
Pumpkin  Spice Orange,"(215, 107, 0)"
Red Orange,"(250, 70, 22)"
Road Sign Orange,"(252, 143, 50)"
Sunset,"(250, 198, 104)"
Tangerine,"(249, 104, 21)"
Tiger Orange,"(249, 104, 21)"
Turmeric,"(255, 133, 15)"
Vermillion,"(221, 50, 36)"
