색상명,RGB
Baby Pink,"(242, 172, 185)"
Blush Pink,"(222, 93, 131)"
Bright Pink,"(255, 0, 127)"
Bubblegum Pink,"(255, 193, 204)"
Carnation Pink,"(255, 166, 201)"
Cherry Blossom Pink,"(255, 183, 197)"
Coral Pink,"(242, 130, 127)"
Cotton Candy Pink,"(255, 188, 217)"
Dark Pink,"(231, 84, 128)"
Deep Pink,"(214, 37, 152)"
Dusty Rose Pink,"(183, 123, 130)"
Flamingo Pink,"(252, 142, 172)"
Flower Pink,"(227, 91, 137)"
Fluourescent Pink,"(255, 105, 180)"
Fuchsia,"(217, 2, 125)"
Gold Pink,"(230, 199, 194)"
Grapefruit Pink,"(224, 112, 124)"
Highlighter Pink,"(255, 20, 147)"
Hot Pink,"(227, 28, 121)"
Knockout Pink,"(255, 62, 165)"
Light Blush,"(241, 171, 185)"
Lip Pink,"(219, 172, 152)"
Light Pink,"(245, 218, 223)"
Magenta,"(217, 1, 122)"
Milano,"(217, 93, 103)"
Millennial Pink,"(255, 209, 220)"
Mulberry,"(207, 87, 138)"
Neon Pink,"(251, 72, 196)"
Nude Pink,"(221, 192, 180)"
Pale Pink,"(242, 212, 215)"
Passion Pink,"(206, 116, 167)"
Pastel Pink,"(233, 205, 208)"
Pearl Pink,"(231, 172, 207)"
Rosy Pink,"(255, 102, 204)"
Salmon Pink,"(255, 134, 116)"
Silvery Pink,"(220, 181, 180)"
Soft Pink,"(255, 184, 191)"
Sweet Pink,"(238, 145, 141)"
Valentine Pink,"(230, 166, 190)"
Vibrant Pink,"(254, 1, 154)"
