색상명,RGB
Aubergine,"(105, 60, 94)"
Advent Purple,"(75, 54, 95)"
Amethyst,"(144, 99, 205)"
Bright Purple,"(172, 79, 198)"
Classic Purple,"(187, 41, 187)"
Dark Purple,"(34, 28, 53)"
Eggplant,"(93, 55, 84)"
Grape,"(128, 49, 167)"
Lavender,"(152, 115, 172)"
Light purple,"(197, 180, 227)"
Light Zerg Purple,"(166, 81, 126)"
Lilac,"(198, 161, 207)"
Mauve,"(187, 133, 171)"
Midnight Purple,"(46, 26, 71)"
Neon Purple,"(199, 36, 177)"
Pastel Purple,"(177, 162, 202)"
Plum Purple,"(156, 80, 182)"
Royal Purple,"(104, 71, 141)"
Violet,"(155, 38, 182)"
