색상명,RGB
Amaranth,"(244, 54, 76)"
Blood Red,"(101, 28, 50)"
Bordeaux,"(87, 45, 45)"
Bright Red,"(225, 6, 0)"
Cerise,"(223, 70, 97)"
Brick Red,"(203, 65, 84)"
Cherry Red,"(205, 0, 26)"
Christmas Red,"(214, 0, 28)"
Comic Book Red,"(237, 29, 36)"
Cranberry,"(166, 10, 61)"
Crimson,"(157, 34, 53)"
Dark Red,"(171, 35, 40)"
Earthy Red,"(153, 71, 88)"
Fire Truck Red,"(206, 32, 41)"
Light Red,"(255, 114, 118)"
Lightsaber Red,"(235, 33, 46)"
Mango,"(183, 94, 74)"
Medium Dark Red,"(128, 5, 0)"
Neon Red,"(210, 39, 48)"
Oxblood Red,"(112, 57, 63)"
Pastel Red,"(255, 109, 106)"
Racing Red,"(189, 22, 44)"
Rich Red,"(161, 0, 14)"
Rose Red,"(255, 3, 62)"
Ruby Red,"(228, 0, 70)"
Rustic Red,"(84, 11, 12)"
Scarlet Red,"(187, 0, 0)"
Strawberry,"(197, 70, 68)"
Varsity Red,"(206, 17, 65)"
Watermelon,"(198, 58, 79)"
Wine Red,"(155, 34, 66)"
