색상명,RGB
Baby Yellow,"(255, 252, 201)"
Banana Yellow,"(254, 221, 0)"
Blonde,"(240, 226, 182)"
Brass,"(172, 159, 60)"
Bright Yellow,"(255, 233, 0)"
Butter,"(246, 235, 97)"
Canary Yellow,"(255, 239, 0)"
Cheese,"(251, 219, 101)"
Comic Book Yellow,"(255, 222, 0)"
Cream,"(254, 251, 234)"
Dark Yellow,"(246, 190, 0)"
Fun Yellow,"(247, 229, 148)"
Glowing Moon Yellow,"(247, 229, 148)"
Goldenrod,"(224, 165, 38)"
Golden Yellow,"(255, 184, 28)"
Honey,"(235, 188, 78)"
Legal Pad Yellow,"(236, 230, 61)"
Lemon Yellow,"(255, 243, 109)"
Light Yellow,"(241, 235, 156)"
Maize,"(241, 190, 72)"
Marigold,"(255, 173, 74)"
Mustard Yellow,"(234, 170, 0)"
Neon Yellow,"(224, 231, 34)"
Ochre,"(201, 151, 0)"
Pastel Yellow,"(233, 236, 107)"
Road Sign Yellow,"(253, 218, 22)"
Safety Yellow,"(236, 232, 26)"
Saffron,"(255, 199, 44)"
School Bus yellow,"(254, 219, 0)"
Summer Yellow,"(247, 247, 73)"
Taxi Cab Yellow,"(253, 184, 19)"
